사용일자,노선명,역명,승차총승객수,하차총승객수
2016-08-20,경의선,서울역,1586,1644
2016-08-21,경의선,서울역,1300,1088
2016-08-22,경의선,서울역,3050,3827
2016-08-23,경의선,서울역,2930,3728
2016-08-24,경의선,서울역,2837,2775
2016-08-25,경의선,서울역,3076,3723
2016-08-26,경의선,서울역,3232,4051
2016-08-27,경의선,서울역,1599,1679
2016-08-28,경의선,서울역,1366,1033
2016-08-29,경의선,서울역,3109,4001
2016-08-30,경의선,서울역,3177,3962
2016-08-31,경의선,서울역,2903,3644
2016-09-01,경의선,서울역,3166,4255
2016-09-02,경의선,서울역,3369,4217
2016-09-03,경의선,서울역,1732,1713
2016-09-04,경의선,서울역,1380,1047
2016-09-05,경의선,서울역,3192,4244
2016-09-06,경의선,서울역,3266,4204
2016-09-07,경의선,서울역,3202,4197
2016-09-08,경의선,서울역,3175,4265
2016-09-09,경의선,서울역,3488,4511
2016-09-10,경의선,서울역,1612,1605
2016-09-11,경의선,서울역,1120,1052
2016-09-12,경의선,서울역,3099,4323
2016-09-13,경의선,서울역,3333,4405
2016-09-14,경의선,서울역,1516,1505
2016-09-15,경의선,서울역,1717,1293
2016-09-16,경의선,서울역,1725,1118
2016-09-17,경의선,서울역,1654,1126
2016-09-18,경의선,서울역,1504,1060
2016-09-19,경의선,서울역,3494,4235
2016-09-20,경의선,서울역,3362,4149
2016-09-21,경의선,서울역,3356,4259
2016-09-22,경의선,서울역,3447,4352
2016-09-23,경의선,서울역,3539,4568
2016-09-24,경의선,서울역,1753,1743
2016-09-25,경의선,서울역,1449,1293
2016-09-26,경의선,서울역,3369,4336
2016-09-27,경의선,서울역,3218,3998
2016-09-28,경의선,서울역,3277,4198
2016-09-29,경의선,서울역,3319,4244
2016-09-30,경의선,서울역,3734,4538
2016-10-01,경의선,서울역,1842,1844
2016-10-02,경의선,서울역,1422,1186
2016-10-03,경의선,서울역,1555,1359
