탑승일자,버스정류장ARS번호,총승객수,승차총승객수,하차총승객수
2015-05-01,02006,6960.0,4115.0,2845.0
2015-05-01,02282,638.0,212.0,426.0
2015-05-02,02003,1954.0,543.0,1411.0
2015-05-02,02006,6723.0,4317.0,2406.0
2015-05-02,02282,740.0,264.0,476.0
2015-05-03,02003,1527.0,467.0,1060.0
2015-05-03,02006,5949.0,3971.0,1978.0
2015-05-03,02282,340.0,92.0,248.0
2015-05-04,02003,2326.0,651.0,1675.0
2015-05-04,02006,8112.0,5164.0,2948.0
2015-05-04,02282,503.0,171.0,332.0
2015-05-05,02003,1752.0,579.0,1173.0
2015-05-05,02006,6132.0,4072.0,2060.0
2015-05-05,02282,730.0,273.0,457.0
2015-05-06,02003,2418.0,625.0,1793.0
2015-05-06,02006,8062.0,5036.0,3026.0
2015-05-06,02282,103.0,41.0,62.0
2015-05-07,02003,2479.0,604.0,1875.0
2015-05-07,02006,8196.0,5155.0,3041.0
2015-05-07,02282,152.0,44.0,108.0
2015-05-08,02003,2633.0,660.0,1973.0
2015-05-08,02006,8607.0,5521.0,3086.0
2015-05-08,02282,166.0,46.0,120.0
2015-05-09,02003,2030.0,597.0,1433.0
2015-05-09,02006,6697.0,4238.0,2459.0
2015-05-09,02282,520.0,166.0,354.0
2015-05-10,02003,1602.0,463.0,1139.0
2015-05-10,02006,6143.0,4242.0,1901.0
2015-05-10,02282,446.0,148.0,298.0
2015-05-11,02003,2278.0,553.0,1725.0
2015-05-11,02006,7649.0,4774.0,2875.0
2015-05-11,02282,65.0,21.0,44.0
2015-05-12,02003,2335.0,543.0,1792.0
2015-05-12,02006,7740.0,4717.0,3023.0
2015-05-12,02282,82.0,39.0,43.0
2015-05-13,02003,2333.0,643.0,1690.0
2015-05-13,02006,8029.0,4993.0,3036.0
2015-05-13,02282,159.0,33.0,126.0
2015-05-14,02003,2490.0,607.0,1883.0
2015-05-14,02006,8130.0,4998.0,3132.0
2015-05-14,02282,181.0,69.0,112.0
2015-05-15,02003,2551.0,687.0,1864.0
2015-05-15,02006,8527.0,5351.0,3176.0
2015-05-15,02282,189.0,58.0,131.0
2015-05-16,02003,2476.0,651.0,1825.0
2015-05-16,02006,6967.0,3887.0,3080.0
2015-05-16,02282,586.0,183.0,403.0
2015-05-17,02003,1793.0,535.0,1258.0
2015-05-17,02006,6305.0,4232.0,2073.0
2015-05-17,02282,448.0,117.0,331.0
2015-05-18,02003,2477.0,564.0,1913.0
2015-05-18,02006,7821.0,4901.0,2920.0
2015-05-18,02282,140.0,55.0,85.0
2015-05-19,02003,2307.0,578.0,1729.0
2015-05-19,02006,7530.0,4777.0,2753.0
2015-05-19,02282,78.0,33.0,45.0
2015-05-20,02003,2457.0,618.0,1839.0
2015-05-20,02006,8022.0,4958.0,3064.0
2015-05-20,02282,148.0,57.0,91.0
2015-05-21,02003,2491.0,661.0,1830.0
2015-05-21,02006,8067.0,4972.0,3095.0
2015-05-21,02282,93.0,27.0,66.0
2015-05-22,02003,2564.0,656.0,1908.0
2015-05-22,02006,8470.0,5508.0,2962.0
2015-05-22,02282,180.0,66.0,114.0
2015-05-23,02003,2023.0,555.0,1468.0
